INPUT:original	INPUT:annotation	GOLDEN:result	GOLDEN:entity1	GOLDEN:entity2	GOLDEN:entity3	GOLDEN:entity4	GOLDEN:entity5	GOLDEN:entity6	GOLDEN:entity7	GOLDEN:entity8	GOLDEN:attribute1	GOLDEN:attribute2	GOLDEN:attribute3	GOLDEN:attribute4	GOLDEN:attribute5	GOLDEN:attribute6	GOLDEN:attribute7	GOLDEN:attribute8	HINT:text	TASK:id	TASK:overlap	TASK:remaining_overlap
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/33.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/33_heap.jpg	"{""shape"":""rectangle""\,""left"":0.4810100655430712\,""top"":0.2520318989018829\,""width"":0.1077754369538077\,""height"":0.035669698591046906\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.6683735174781523\,""top"":0.43241866034803433\,""width"":0.0373068820224719\,""height"":0.020382684909169668\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.6327247191011236\,""top"":0.39267242477515346\,""width"":0.045597300249688\,""height"":0.02445922189100369\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.5945887952559301\,""top"":0.4201890494025326\,""width"":0.0671523876404494\,""height"":0.0417845040637978\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.6003920880149813\,""top"":0.3885958877933196\,""width"":0.025700296504369557\,""height"":0.027516624627379027\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.5423591604244694\,""top"":0.4833753726209585\,""width"":0.03564879837702872\,""height"":0.05503324925475811\,""label"":""1""}"																	4	00017975c2--60bccb43fe5d13225936d207	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/34.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/34_heap.jpg	"{""shape"":""rectangle""\,""left"":0.6272198813982522\,""top"":0.24968789013732834\,""width"":0.07149656679151051\,""height"":0.14981273408239698\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5930965199750312\,""top"":0.40749063670411984\,""width"":0.055247347066167296\,""height"":0.03995006242197252\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5573482365792759\,""top"":0.46541822721598003\,""width"":0.04224797128589264\,""height"":0.05593008739076155\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.6515937109862672\,""top"":0.40149812734082396\,""width"":0.05687226903870157\,""height"":0.0779026217228464\,""label"":""3""}"																	3	00017975c2--60bccb43fe5d13225936d208	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/40.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/40_heap.jpg	"{""shape"":""rectangle""\,""left"":0.23723860799001248\,""top"":0.2516853932584269\,""width"":0.05524734706616727\,""height"":0.03196004993757806\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3168597846441948\,""top"":0.18177278401997501\,""width"":0.09749531835205988\,""height"":0.0739076154806492\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.4046055711610487\,""top"":0.31161048689138576\,""width"":0.04874765917602991\,""height"":0.061922596754057424\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.420854790886392\,""top"":0.1797752808988764\,""width"":0.02112398564294632\,""height"":0.08189762796504368\,""label"":""3""}"																	3	00017975c2--60bccb43fe5d13225936d20e	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/41.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/41_heap.jpg	"{""shape"":""rectangle""\,""left"":0.586439319870701\,""top"":0.007355213258250791\,""width"":0.06461356069315605\,""height"":0.08569961875723321\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.2769743712876908\,""top"":0.12858882028067825\,""width"":0.1088228390621574\,""height"":0.11496290321092265\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.4623132690654277\,""top"":0.32507087304116417\,""width"":0.03570749406727036\,""height"":0.014631642226844765\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.4751560151214043\,""top"":0.340914964166512\,""width"":0.020726045568039975\,""height"":0.018718792263523132\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.5065225474344291\,""top"":0.4233118994214072\,""width"":0.08841855673800292\,""height"":0.05852656890737873\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.4595057358149252\,""top"":0.340914964166512\,""width"":0.014381337741088907\,""height"":0.016638926456464975\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.4595057358149252\,""top"":0.3585938235265061\,""width"":0.03553036383092567\,""height"":0.023398490329403943\,""label"":""6""},{""shape"":""rectangle""\,""left"":0.39005598655829593\,""top"":0.3753534704017625\,""width"":0.060028921237435195\,""height"":0.08565265386648269\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.44579712770734287\,""top"":0.47418345563231934\,""width"":0.06538864634792046\,""height"":0.05666252486551926\,""label"":""1""}"																	6	00017975c2--60bccb43fe5d13225936d20f	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/59.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/59_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5638479244694132\,""top"":0.06991260923845193\,""width"":0.04062304931335825\,""height"":0.041947565543071164\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5264747191011235\,""top"":0.16978776529338327\,""width"":0.07799625468164795\,""height"":0.0838951310861423\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.4046055711610487\,""top"":0.30362047440699125\,""width"":0.05524734706616724\,""height"":0.04594257178526845\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.4907264357053683\,""top"":0.315605493133583\,""width"":0.05524734706616724\,""height"":0.01997503121098626\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.4777270599250936\,""top"":0.33957553058676654\,""width"":0.07149656679151067\,""height"":0.02596754057428219\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.47935198189762795\,""top"":0.36953807740324596\,""width"":0.08937070848938833\,""height"":0.051935081148564266\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.6970915262172285\,""top"":0.6252184769038702\,""width"":0.06499687890137329\,""height"":0.06192259675405731\,""label"":""6""}"																	7	00017975c2--60bccb43fe5d13225936d221	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/62.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/62_heap.jpg	"{""shape"":""rectangle""\,""left"":0.7848373127340823\,""top"":0.6671660424469413\,""width"":0.073121488764045\,""height"":0.06591760299625471\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5557233146067416\,""top"":0.7910112359550562\,""width"":0.048747659176029856\,""height"":0.035955056179775235\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.46472768414481896\,""top"":0.16179775280898875\,""width"":0.04224797128589258\,""height"":0.023970037453183518\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.45335323033707864\,""top"":0.18976279650436953\,""width"":0.04387289325842697\,""height"":0.03395755305867665\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.5086005774032459\,""top"":0.19176029962546817\,""width"":0.021123985642946375\,""height"":0.027965043695380748\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.4436036985018727\,""top"":0.22571785268414482\,""width"":0.06012211298377029\,""height"":0.025967540574282105\,""label"":""6""},{""shape"":""rectangle""\,""left"":0.4241046348314607\,""top"":0.5053682896379526\,""width"":0.0454978152309613\,""height"":0.035955056179775235\,""label"":""7""}"																	7	00017975c2--60bccb43fe5d13225936d224	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/67.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/67_heap.jpg	"{""shape"":""rectangle""\,""left"":0.3997308052434457\,""top"":0.5313358302122347\,""width"":0.1137445380774032\,""height"":0.14382022471910116\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.4907264357053683\,""top"":0.18776529338327091\,""width"":0.030873517478152313\,""height"":0.021972534332084875\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5573482365792759\,""top"":0.1438202247191011\,""width"":0.0454978152309613\,""height"":0.033957553058676676\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.6142205056179776\,""top"":0.13782771535580524\,""width"":0.032498439450686645\,""height"":0.07590511860174781\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.542723938826467\,""top"":0.18976279650436953\,""width"":0.06012211298377024\,""height"":0.041947565543071136\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.6499687890137328\,""top"":0.22372034956304618\,""width"":0.07149656679151062\,""height"":0.2896379525593009\,""label"":""6""},{""shape"":""rectangle""\,""left"":0.6229011307448434\,""top"":0.6702616983140139\,""width"":0.07458006829459407\,""height"":0.1250190820697329\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5822210934932467\,""top"":0.595250249072174\,""width"":0.10170009312899198\,""height"":0.06459319240269545\,""label"":""7""},{""shape"":""rectangle""\,""left"":0.6991762005915874\,""top"":0.7161020284062494\,""width"":0.08644507915964306\,""height"":0.08126240334532642\,""label"":""8""}"																	8	00017975c2--60bccb43fe5d13225936d229	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/70.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/70_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5963463639200999\,""top"":0.2277153558052434\,""width"":0.038998127340823974\,""height"":0.023970037453183518\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5167251872659177\,""top"":0.26766541822721596\,""width"":0.04712273720349558\,""height"":0.07390761548064922\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5817220661672909\,""top"":0.25767790262172285\,""width"":0.05199750312109863\,""height"":0.047940074906367036\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.6402192571785269\,""top"":0.2476903870162297\,""width"":0.03412336142322092\,""height"":0.02397003745318349\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.5752223782771536\,""top"":0.315605493133583\,""width"":0.0633719569288389\,""height"":0.033957553058676704\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.5605980805243446\,""top"":0.35555555555555557\,""width"":0.07149656679151062\,""height"":0.04394506866416975\,""label"":""6""},{""shape"":""rectangle""\,""left"":0.5151002652933833\,""top"":0.35555555555555557\,""width"":0.03574828339575531\,""height"":0.07790262172284645\,""label"":""7""}"																	7	00017975c2--60bccb43fe5d13225936d22c	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/18.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/18_heap.jpg	"{""shape"":""rectangle""\,""left"":0.23839395334561062\,""top"":0.23988674659550738\,""width"":0.03342733271945983\,""height"":0.026058305458463354\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.27426718845917725\,""top"":0.24590020170130664\,""width"":0.059516958256599084\,""height"":0.03908745818769496\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.27834369244935525\,""top"":0.20781498603124485\,""width"":0.05625575506445668\,""height"":0.03608073063479533\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.3500901626764885\,""top"":0.16371631525538385\,""width"":0.10925030693677096\,""height"":0.1403139524686486\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.3019874155923878\,""top"":0.16672304280828346\,""width"":0.039949739103744664\,""height"":0.03608073063479539\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.39792114282791075\,""top"":0.32568984213288343\,""width"":0.06410556728318495\,""height"":0.06475657083177122\,""label"":""6""}"																	6	00017975c2--60bccb43fe5d13225936d1f8	infinite	infinite
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/22.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/22_heap.jpg	"{""shape"":""rectangle""\,""left"":0.30652740036231885\,""top"":0.36135265700483093\,""width"":0.03929838466183577\,""height"":0.04637681159420293\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3379661080917875\,""top"":0.42125603864734307\,""width"":0.09745999396135269\,""height"":0.0579710144927536\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.3536854619565218\,""top"":0.36135265700483093\,""width"":0.06287741545893721\,""height"":0.056038647342995185\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.4778683574879228\,""top"":0.3130434782608696\,""width"":0.07859676932367143\,""height"":0.106280193236715\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.5155948067632851\,""top"":0.5004830917874397\,""width"":0.08645644625603865\,""height"":0.09661835748792269\,""label"":""5""}"																	5	00017975c2--60bccb43fe5d13225936d1fc	infinite	infinite
