INPUT:original	INPUT:annotation	OUTPUT:result	OUTPUT:entity1	OUTPUT:entity2	OUTPUT:entity3	OUTPUT:entity4	OUTPUT:entity5	OUTPUT:entity6	OUTPUT:entity7	OUTPUT:entity8	OUTPUT:attribute1	OUTPUT:attribute2	OUTPUT:attribute3	OUTPUT:attribute4	OUTPUT:attribute5	OUTPUT:attribute6	OUTPUT:attribute7	OUTPUT:attribute8	GOLDEN:result	GOLDEN:entity1	GOLDEN:entity2	GOLDEN:entity3	GOLDEN:entity4	GOLDEN:entity5	GOLDEN:entity6	GOLDEN:entity7	GOLDEN:entity8	GOLDEN:attribute1	GOLDEN:attribute2	GOLDEN:attribute3	GOLDEN:attribute4	GOLDEN:attribute5	GOLDEN:attribute6	GOLDEN:attribute7	GOLDEN:attribute8	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/11.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/11_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5371894084909378\,""top"":0.31048069345941687\,""width"":0.15344834684668052\,""height"":0.13553979511426317\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.6128318311662727\,""top"":0.5074862096138693\,""width"":0.062421024644158773\,""height"":0.09613869188337276\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.4205205870764382\,""top"":0.5799842395587077\,""width"":0.1726794712556639\,""height"":0.061465721040189214\,""label"":""3""}"	head	neck	body						black	dark brown	brown																									https://toloka.yandex.ru/task/24685843/000178ad13--60b96ac6be2bd36caab0e277	000178ad13--60b96ac6be2bd36caab0e277	615d0dfb6ac4838de5f59f768f88a9fe	APPROVED	2021-06-03T23:50:30.334	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/29.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/29_heap.jpg	"{""shape"":""rectangle""\,""left"":0.25897914204097716\,""top"":0.24113475177304966\,""width"":0.08549837393493898\,""height"":0.16233254531126873\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3419133660547183\,""top"":0.2805358550039401\,""width"":0.05681194669153866\,""height"":0.18597320724980304\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.40257153762805364\,""top"":0.3435776201733649\,""width"":0.03461602393617019\,""height"":0.06461780929866034\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.4243668119582349\,""top"":0.08983451536643026\,""width"":0.06113894968355987\,""height"":0.059889676910953496\,""label"":""4""}"	tail	body	neck	wings					open	white	black	wide open																								https://toloka.yandex.ru/task/24685843/000178ad13--60b96b51319fec5a35c9ebb9	000178ad13--60b96b51319fec5a35c9ebb9	615d0dfb6ac4838de5f59f768f88a9fe	APPROVED	2021-06-03T23:52:49.358	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/30.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/30_heap.jpg	"{""shape"":""rectangle""\,""left"":0.423084736997636\,""top"":0.20646178092986606\,""width"":0.12011439787110917\,""height"":0.1402679275019701\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.494480286365987\,""top"":0.31205673758865254\,""width"":0.16066001850004935\,""height"":0.20488573680063044\,""label"":""2""}"	head	wings							serious	closed																										https://toloka.yandex.ru/task/24685843/000178ad13--60b96bdb4dc48f273e1770b1	000178ad13--60b96bdb4dc48f273e1770b1	615d0dfb6ac4838de5f59f768f88a9fe	APPROVED	2021-06-03T23:55:07.975	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/25.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/25_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5384761007683215\,""top"":0.19976359338061472\,""width"":0.12129631072541125\,""height"":0.16745468873128444\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.570527974783294\,""top"":0.3908589440504334\,""width"":0.20783637056583681\,""height"":0.33884948778565804\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.37931851386272414\,""top"":0.22537431048069348\,""width"":0.1335160876936195\,""height"":0.19503546099290783\,""label"":""3""}"	head	wings	body						serious	closed	brown																									https://toloka.yandex.ru/task/24685843/000178ad13--60b96c002cf798441debf23f	000178ad13--60b96c002cf798441debf23f	615d0dfb6ac4838de5f59f768f88a9fe	APPROVED	2021-06-03T23:55:44.810	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/36.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/36_heap.jpg	"{""shape"":""rectangle""\,""left"":0.34357651561125496\,""top"":0.21298006413624035\,""width"":0.0806970094676277\,""height"":0.11400782184864136\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3344290431575732\,""top"":0.3198623971193416\,""width"":0.12507583622311325\,""height"":0.13538428844526168\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.6464393659588947\,""top"":0.22901241408370554\,""width"":0.2777752278756612\,""height"":0.13538428844526162\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.2421391973130024\,""top"":0.6601044904488808\,""width"":0.32849388702478755\,""height"":0.27789406575606346\,""label"":""4""}"	beak	neck	wingd	tail					open	furry	wide open	open																								https://toloka.yandex.ru/task/24685843/000178ad13--60b96c30be2bd36caab0f118	000178ad13--60b96c30be2bd36caab0f118	615d0dfb6ac4838de5f59f768f88a9fe	APPROVED	2021-06-03T23:56:32.097	+	
																																												
