INPUT:original	INPUT:original	OUTPUT:color1	OUTPUT:color2	OUTPUT:color3	OUTPUT:color4	OUTPUT:color5	OUTPUT:color6	OUTPUT:color7	OUTPUT:color8	OUTPUT:user_text1	OUTPUT:user_text2	OUTPUT:user_text3	OUTPUT:user_text4	OUTPUT:user_text5	OUTPUT:user_text6	OUTPUT:user_text7	OUTPUT:user_text8	OUTPUT:entity_text1	OUTPUT:entity_text2	OUTPUT:entity_text3	OUTPUT:entity_text4	OUTPUT:entity_text5	OUTPUT:entity_text6	OUTPUT:entity_text7	OUTPUT:entity_text8	OUTPUT:entity_suggest1	OUTPUT:entity_suggest2	OUTPUT:entity_suggest3	OUTPUT:entity_suggest4	OUTPUT:entity_suggest5	OUTPUT:entity_suggest6	OUTPUT:entity_suggest7	OUTPUT:entity_suggest8	GOLDEN:color1	GOLDEN:color2	GOLDEN:color3	GOLDEN:color4	GOLDEN:color5	GOLDEN:color6	GOLDEN:color7	GOLDEN:color8	GOLDEN:result1	GOLDEN:user_text1	GOLDEN:user_text2	GOLDEN:user_text3	GOLDEN:user_text4	GOLDEN:user_text5	GOLDEN:user_text6	GOLDEN:user_text7	GOLDEN:user_text8	GOLDEN:entity_text1	GOLDEN:entity_text2	GOLDEN:entity_text3	GOLDEN:entity_text4	GOLDEN:entity_text5	GOLDEN:entity_text6	GOLDEN:entity_text7	GOLDEN:entity_text8	GOLDEN:entity_suggest1	GOLDEN:entity_suggest2	GOLDEN:entity_suggest3	GOLDEN:entity_suggest4	GOLDEN:entity_suggest5	GOLDEN:entity_suggest6	GOLDEN:entity_suggest7	GOLDEN:entity_suggest8	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/1.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/1.jpg		"""BLACK"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""WHITE"""	"""BLACK"""	"""WHITE"""	"""Beige"""			"""Black"""			"""White,Brown"""	"""Black"""									"""Beak"""	"""Crown"""	"""Forehead"""	"""Nape"""	"""Throat"""	"""Chin"""	"""Wing"""	"""Ear coverts"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bd0c9b5bc69d7846334ab4	000179d6ea--60bd0c9b5bc69d7846334ab4	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T17:57:47.169	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/1.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/1.jpg	"""YELLOW"""	"""BLACK"""	"""BLACK"""	"""WHITE"""																					"""Beak"""	"""Crown"""	"""Wing"""	"""Nape"""																																								https://toloka.yandex.ru/task/24762090/000179d6ea--60bd37e799211a6cb3a5fcca	000179d6ea--60bd37e799211a6cb3a5fcca	e3f17132d78b3d75cb4eec4311824108	APPROVED	2021-06-06T21:02:31.462	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/1.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/1.jpg	"""YELLOW"""	"""BLACK"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""BLACK"""	"""BLACK"""																		"""Lore"""	"""Forehead"""	"""Crown"""	"""Ear coverts"""	"""Nape"""	"""Tail"""																																						https://toloka.yandex.ru/task/24762090/000179d6ea--60bd563d68183b5da85f45c3	000179d6ea--60bd563d68183b5da85f45c3	a000408bc0f9ab7a82b9ce992a217d3b	APPROVED	2021-06-06T23:11:57.489	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	"""BLACK"""	"""BLACK"""	"""YELLOW"""	"""BLACK"""	"""YELLOW"""	"""GRAY"""	"""WHITE"""		"""White"""		"""Gray"""	"""White"""													"""Crown"""	"""Wing"""	"""Feet"""	"""Wing"""	"""Beak"""	"""Nape"""	"""Chin"""																																					https://toloka.yandex.ru/task/24762090/000179d6ea--60bd056cf33865758e9a838c	000179d6ea--60bd056cf33865758e9a838c	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T17:27:08.249	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	"""BLACK"""	"""BLACK"""	"""ORANGE"""	"""WHITE"""					"""black and white wing"""	"""black and white crown"""	"""orange and black beak"""														"""Wing"""	"""Crown"""	"""Beak"""	"""Nape"""																																								https://toloka.yandex.ru/task/24762090/000179d6ea--60bd059378248827a601c7ef	000179d6ea--60bd059378248827a601c7ef	a000408bc0f9ab7a82b9ce992a217d3b	APPROVED	2021-06-06T17:27:47.716	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	"""BLACK"""	"""ORANGE"""	"""ORANGE"""	"""BLACK"""	"""WHITE"""																				"""Wing"""	"""Feet"""	"""Beak"""	"""Crown"""	"""Wing"""																																							https://toloka.yandex.ru/task/24762090/000179d6ea--60bd1f35c317463775e71cd3	000179d6ea--60bd1f35c317463775e71cd3	a4d83ff6337229f5e6652e7885de0074	APPROVED	2021-06-06T19:17:09.346	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/3.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/3.jpg	"""WHITE"""	"""BLACK"""	"""WHITE"""							"""Brown,White"""															"""Throat"""	"""Wing"""	"""Rump"""																																									https://toloka.yandex.ru/task/24762090/000179d6ea--60bd1d537afbc056f696e360	000179d6ea--60bd1d537afbc056f696e360	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T19:09:07.617	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/3.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/3.jpg	"""ORANGE"""	"""WHITE"""	"""BLACK"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""WHITE"""	"""BLACK"""																	"""Beak"""	"""Ear coverts"""	"""Forehead"""	"""Crown"""	"""Nape"""	"""Throat"""	"""Breast"""	"""Wing"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bd3f47f440ea6858930aa8	000179d6ea--60bd3f47f440ea6858930aa8	f576daac5f2d8049fdd45e3d7175397c	APPROVED	2021-06-06T21:33:59.785	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/3.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/3.jpg	"""WHITE"""	"""RED"""								"""The wing is a brownish red and white color"""															"""Throat"""	"""Wing"""																																										https://toloka.yandex.ru/task/24762090/000179d6ea--60bd545b319fec5a35ff4c81	000179d6ea--60bd545b319fec5a35ff4c81	a000408bc0f9ab7a82b9ce992a217d3b	APPROVED	2021-06-06T23:03:55.635	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/4.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/4.jpg	"""BLACK"""	"""WHITE"""	"""BLACK"""															"""head"""							"""Belly"""		"""Wing"""																																									https://toloka.yandex.ru/task/24762090/000179d6ea--60bd1f90f440ea6858920ab2	000179d6ea--60bd1f90f440ea6858920ab2	3ee9eabae5e66a035f8c14034061d92f	APPROVED	2021-06-06T19:18:40.942	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/4.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/4.jpg	"""ORANGE"""	"""BLACK"""	"""WHITE"""	"""BLACK"""	"""BLACK"""	"""BLACK"""	"""BLACK"""	"""BLUE"""				"""White"""	"""White"""			"""Wavy"""								"""Water"""	"""Beak"""	"""Crown"""	"""Throat"""	"""Wing"""	"""Wing"""	"""Belly"""	"""Tail"""																																					https://toloka.yandex.ru/task/24762090/000179d6ea--60bd24e15bc69d7846343206	000179d6ea--60bd24e15bc69d7846343206	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T19:41:21.288	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/4.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/4.jpg	"""WHITE"""	"""BLACK"""	"""BLACK"""	"""BLACK"""																					"""Crown"""	"""Wing"""	"""Belly"""	"""Tail"""																																								https://toloka.yandex.ru/task/24762090/000179d6ea--60bd31b7f220db21bc22bcfa	000179d6ea--60bd31b7f220db21bc22bcfa	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-06T20:36:07.509	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/5.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/5.jpg	"""YELLOW"""	"""BLACK"""	"""GRAY"""	"""GRAY"""	"""BLACK"""	"""GRAY"""	"""BLUE"""	"""BLACK"""							"""Wavy"""								"""Water"""		"""Beak"""	"""Crown"""	"""Nape"""	"""Throat"""	"""Breast"""	"""Wing"""		"""Forehead"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bd1adf78248827a602c909	000179d6ea--60bd1adf78248827a602c909	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T18:58:39.793	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/5.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/5.jpg	"""BLACK"""	"""BLACK"""	"""YELLOW"""	"""WHITE"""	"""WHITE"""																				"""Wing"""	"""Crown"""	"""Beak"""	"""Breast"""	"""Nape"""																																							https://toloka.yandex.ru/task/24762090/000179d6ea--60bd20135bc69d78463406a3	000179d6ea--60bd20135bc69d78463406a3	3ee9eabae5e66a035f8c14034061d92f	APPROVED	2021-06-06T19:20:51.096	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/5.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/5.jpg	"""BLACK"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""BLACK"""	"""BLACK"""																			"""Crown"""	"""Beak"""	"""Nape"""	"""Throat"""	"""Belly"""	"""Wing"""																																						https://toloka.yandex.ru/task/24762090/000179d6ea--60bd366562f2586508d2a40f	000179d6ea--60bd366562f2586508d2a40f	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-06T20:56:05.296	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6.jpg		"""BLACK"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""BLACK"""	"""GREEN"""		"""Beige"""					"""Brown,White"""	"""Wavy,Reflective"""								"""Water"""		"""Beak"""	"""Crown"""	"""Forehead"""	"""Nape"""	"""Throat"""	"""Wing"""																																						https://toloka.yandex.ru/task/24762090/000179d6ea--60bd243bc2e3f602529f9d16	000179d6ea--60bd243bc2e3f602529f9d16	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T19:38:35.829	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6.jpg	"""YELLOW"""	"""BLACK"""	"""WHITE"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""WHITE"""	"""BLACK"""																	"""Beak"""	"""Crown"""	"""Throat"""	"""Wing"""	"""Nape"""	"""Mantle"""	"""Breast"""	"""Tail"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bd41cf250bd33fac9a8b80	000179d6ea--60bd41cf250bd33fac9a8b80	f576daac5f2d8049fdd45e3d7175397c	APPROVED	2021-06-06T21:44:47.381	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6.jpg	"""YELLOW"""	"""YELLOW"""	"""BLACK"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""BLACK"""																		"""Beak"""	"""Lore"""	"""Wing"""	"""Crown"""	"""Nape"""	"""Throat"""	"""Tail"""																																					https://toloka.yandex.ru/task/24762090/000179d6ea--60bd5837be2bd36caadfa722	000179d6ea--60bd5837be2bd36caadfa722	a000408bc0f9ab7a82b9ce992a217d3b	APPROVED	2021-06-06T23:20:23.133	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/7.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/7.jpg	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""GRAY"""	"""BLACK"""	"""BLACK"""	"""GRAY"""	"""GRAY"""	"""Pink"""		"""Black"""		"""Brown,Gray"""	"""Brown"""											"""Beak"""	"""Crown"""	"""Nape"""	"""Forehead"""	"""Wing"""	"""Throat"""	"""Ear coverts"""	"""Chin"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bd1a48c2e3f602529f3f3b	000179d6ea--60bd1a48c2e3f602529f3f3b	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T18:56:08.287	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/7.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/7.jpg	"""RED"""	"""ORANGE"""	"""YELLOW"""	"""GREEN"""	"""BLUE"""																				"""Crown"""	"""Beak"""	"""Ear coverts"""	"""Nape"""	"""Chin"""																																							https://toloka.yandex.ru/task/24762090/000179d6ea--60bd4618be2bd36caadf499a	000179d6ea--60bd4618be2bd36caadf499a	e3f17132d78b3d75cb4eec4311824108	APPROVED	2021-06-06T22:03:04.731	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/7.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/7.jpg	"""WHITE"""	"""BLACK"""	"""BLACK"""	"""WHITE"""	"""WHITE"""	"""WHITE"""	"""BLACK"""	"""BLACK"""		"""the beak is black and pink"""			"""black and white ear covert"""												"""Lore"""	"""Beak"""	"""Wing"""	"""Crown"""	"""Ear coverts"""	"""Nape"""	"""Throat"""	"""Mantle"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bd572078248827a605251c	000179d6ea--60bd572078248827a605251c	a000408bc0f9ab7a82b9ce992a217d3b	APPROVED	2021-06-06T23:15:44.846	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/8.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/8.jpg	"""GRAY"""	"""WHITE"""	"""WHITE"""	"""GRAY"""	"""GRAY"""	"""GRAY"""	"""WHITE"""	"""WHITE"""									"""water"""			"""water"""						"""Crown"""	"""Forehead"""		"""Lore"""	"""Nape"""	"""Throat"""	"""Vent"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bcf920cd58ba6b3e41471b	000179d6ea--60bcf920cd58ba6b3e41471b	5e6241c0c57a5d6a54ac17bdf9da94df	APPROVED	2021-06-06T16:34:40.851	+	
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/8.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/8.jpg	"""BLACK"""	"""WHITE"""	"""GRAY"""	"""WHITE"""	"""WHITE"""	"""GRAY"""	"""GRAY"""	"""GRAY"""	"""Pink"""			"""Black"""	"""Black"""	"""Black"""	"""Black,White"""										"""Beak"""	"""Crown"""	"""Forehead"""	"""Nape"""	"""Throat"""	"""Wing"""	"""Ear coverts"""	"""Chin"""																																				https://toloka.yandex.ru/task/24762090/000179d6ea--60bcfaebdf8878157e79d73b	000179d6ea--60bcfaebdf8878157e79d73b	ce58f3ca97ad6ebb5e7054c8fda87829	APPROVED	2021-06-06T16:42:19.711	+	
